Ativo,Data,Maxima dia,Minima dia,Valor abertura,Valor fechamento,Volume,Valor de mercado
ETH,2020-12-02T23:59:59Z,604.02247139,578.74101499,587.26159206,598.35234223,16883292129.40914,68015797685.32552
ETH,2020-12-03T23:59:59Z,622.45267042,588.34637382,598.45920279,616.70875486,16146190946.431927,70110808537.54408
ETH,2020-12-04T23:59:59Z,618.98313731,569.2834906,616.72280206,569.35419749,16337589996.897411,64734997134.67744
ETH,2020-12-05T23:59:59Z,596.59547474,563.10664698,569.34764334,596.59547474,13498010566.223133,67840334209.490234
ETH,2020-12-06T23:59:59Z,606.79192258,584.41171408,596.5686842,601.90899244,11290893016.094542,68452719868.01412
ETH,2020-12-07T23:59:59Z,602.91792689,585.42865927,601.79709521,591.84337934,10720480961.526335,67315962016.450554
ETH,2020-12-08T23:59:59Z,594.75156541,552.46924616,591.90083407,554.82775708,14398919320.07013,63113292236.578674
ETH,2020-12-09T23:59:59Z,577.28841046,532.99842827,554.7929235,573.47911163,15855915839.909492,65242758700.21787
ETH,2020-12-10T23:59:59Z,574.60014515,549.78405605,573.50403889,559.67850106,11672582039.82982,63680254164.817955
ETH,2020-12-11T23:59:59Z,560.37670228,537.8116512,559.67922887,545.79734103,11098819124.362005,62108208317.23196
ETH,2020-12-12T23:59:59Z,573.33944367,545.24559945,545.57856237,568.56731778,8534557897.350276,64706942225.99528
ETH,2020-12-13T23:59:59Z,593.78124512,564.56599324,568.60986549,589.6632225,9070377861.783047,67115726662.02899
ETH,2020-12-14T23:59:59Z,590.49295689,577.11843169,589.78248016,586.01115197,8125837101.541813,66708003325.04708
ETH,2020-12-15T23:59:59Z,596.24772777,580.62877239,586.02178289,589.35560245,9326645839.951115,67096668321.69698
ETH,2020-12-16T23:59:59Z,636.6403226,582.03913098,589.37866405,636.18184867,15817248372.944794,72436347872.16913
ETH,2020-12-17T23:59:59Z,673.83423223,628.74940968,636.15415504,642.86896702,25479532147.203156,73206412680.50867
ETH,2020-12-18T23:59:59Z,662.69911928,632.35607476,642.91702204,654.81192689,15756303982.872536,74575304994.55286
ETH,2020-12-19T23:59:59Z,668.76956219,646.61623951,654.62422918,659.29792646,12830893777.763968,75095087629.00385
ETH,2020-12-20T23:59:59Z,659.92368345,625.01446125,659.18504794,638.29084637,13375855441.559715,72711065644.97649
ETH,2020-12-21T23:59:59Z,646.84656496,600.8360442,638.31518077,609.81787165,14419493620.66142,69475834114.53963
ETH,2020-12-22T23:59:59Z,635.07660067,589.55199376,609.42055968,634.85419947,14745890080.163757,72336758959.73206
ETH,2020-12-23T23:59:59Z,637.12280346,560.36424195,634.82458741,583.71459689,15261413038.262846,66517758494.159546
ETH,2020-12-24T23:59:59Z,613.81516598,568.59637875,584.13564707,611.60718693,14317413702.733274,69704465559.66194
ETH,2020-12-25T23:59:59Z,633.0614188,605.42441235,611.55459305,626.41070163,13520927699.527304,71400061459.62726
ETH,2020-12-26T23:59:59Z,650.721411,617.40207635,626.49803032,635.83583086,14761125202.374445,72483025274.85342
ETH,2020-12-27T23:59:59Z,711.39355522,628.33495138,635.88715839,682.6423591,26093552820.75143,77828069141.04636
ETH,2020-12-28T23:59:59Z,745.87776599,683.2058149,683.2058149,730.39736483,24222565862.361534,83282601744.92747
ETH,2020-12-29T23:59:59Z,737.95290336,692.14943811,730.35868417,731.52011874,18710683199.35822,83420334908.86484
ETH,2020-12-30T23:59:59Z,754.30323417,720.98887482,731.47284482,751.61897194,17294574209.511234,85722581848.92598
ETH,2020-12-31T23:59:59Z,754.29943982,726.51190829,751.62664329,737.80339769,13926846860.642895,84156810764.80739
ETH,2021-01-01T23:59:59Z,749.20185892,719.79225795,737.70837778,730.36756913,13652004358.405218,83318539689.41852
ETH,2021-01-02T23:59:59Z,786.79845753,718.10951748,730.40267329,774.53496804,19740771179.24148,88367612520.27962
ETH,2021-01-03T23:59:59Z,1006.56500197,771.56164548,774.51186497,975.50767291,45200463368.20847,111309985610.90729
ETH,2021-01-04T23:59:59Z,1153.18923155,912.30533777,977.05881876,1040.23304833,56945985762.68821,118709509271.5964
ETH,2021-01-05T23:59:59Z,1129.37148825,986.81128264,1041.49883123,1100.00609944,41535932781.2677,125545618320.15997
ETH,2021-01-06T23:59:59Z,1209.42854775,1064.23335083,1101.0049763,1207.11223389,44699914188.32903,137786204516.8729
ETH,2021-01-07T23:59:59Z,1282.57959132,1167.4431507,1208.07832547,1225.67813488,40468027279.66528,139921813991.6793
ETH,2021-01-08T23:59:59Z,1273.82750425,1076.08153577,1225.96789662,1224.19714489,44334826666.28763,139769385933.2377
ETH,2021-01-09T23:59:59Z,1303.87183285,1182.27042011,1223.74045255,1281.07729102,33233105360.8482,146280792179.4133
ETH,2021-01-10T23:59:59Z,1347.92612492,1194.71559903,1280.87104275,1262.24666381,40616938052.61099,144147690008.65298
ETH,2021-01-11T23:59:59Z,1261.62296792,924.92258485,1261.62296792,1090.14537315,60733630300.40744,124508608481.94814
